DIAL_DIGIT_KEY,EVENT_DIRECTION_KEY,SDCA_LOCATION_CODE,TARGET_REGION_DESC,TARGET_COUNTRY_CODE,TARGET_COUNTRY_DESC,LDCA_NAME,SDCA_NAME,LDCC_X_COORD,LDCC_Y_COORD,CDSS_X_COORD,CDSS_Y_COORD,ISO_COUNTRY_CODE,RATE_CALSS,DIAL_DIGIT_DESC,PREFIX_IND,LIST_TYPE_ID_KEY,HOTLIST_IND,TEST_EVENT_IND,EVENT_CATEGORY_KEY,DM_IND,EVENT_TYPE_KEY,LENGTH,PROVIDER_DESC,BU_KEY,NOP_ID_KEY,FORCE_RI_IND,POPULATION_DATE_TIME,UPDATE_DATE_TIME
-99,-99,-99,UNKNOWN,-99,UNKNOWN,UNKNOWN,UNKNOWN,0,0,0,0,-99,UNKNOWN,UNKNOWN,9,-99,9,9,-99,9,-99,0,Unknown,-99,-99,9,07/18/2008 00:00:00,07/18/2008 00:00:00
-98,-98,-98,NOT APPLICABLE,-98,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,0,0,0,0,-98,NOT APPLIC,NOT APPLICABLE,9,-98,9,9,-98,9,-98,0,NOT APPLICABLE,-98,-98,9,07/18/2008 00:00:00,07/18/2008 00:00:00
-97,-98,,UNKNOWN,,UNKNOWN,,,,,,,,,UNKNOWN,9,-99,9,9,-99,9,-99,,ALPHANUMERIC LOOKUP PARAMETER,-99,-97,9,11/26/2008 16:23:28,
-96,-98,,UNKNOWN,,UNKNOWN,,,,,,,,,UNKNOWN,9,-99,9,9,-99,9,-99,,NULL LOOKUP PARAMETER,-99,-96,9,11/26/2008 16:26:44,
249888,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,6,1,-99,,ZAIN || Toll Free,1,125,9,02/24/2009 11:26:45,
2491230,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,6,1,-99,,ZAIN || Toll Free,1,125,9,02/24/2009 11:26:45,
2492000,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,6,1,-99,,ZAIN || Toll Free,1,125,9,02/24/2009 11:26:45,
2.49912E+11,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,6,1,-99,,ZAIN || Toll Free,1,125,9,02/24/2009 11:26:45,
2.49912E+11,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,6,1,-99,,ZAIN || Toll Free,1,125,9,02/24/2009 11:26:45,
2.49912E+11,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,6,1,-99,,ZAIN || Toll Free,1,125,9,02/24/2009 11:26:45,
2.49912E+11,-99,,UNKNOWN,249,SUDAN,,,,,,,SDN,,INTERNATIONAL,1,-98,0,0,6,1,-99,,ZAIN || Toll Free,1,125,9,02/24/2009 11:26:45,
