"MCC","MNC","TADIG_CODE","CC","OPERATOR_COUNTRY","OPERATOR_NAME","POPULATION_DATE_TIME","UPDATE_DATE_TIME"
"","","AFGAW","","AFGHANISTAN","AFGHAN WIRELESS COMMUNICATION COMPANY 'AWCC'","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","AFGAR","","AFGHANISTAN","AREEBA MTN","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","AFGTD","","AFGHANISTAN","TDCA","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","AFGEA","","AFGHANISTAN","ETISALAT AFGHANISTAN","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","FINAM","","ALANDS ISLANDS (FINLAND)","ALANDS MOBILTELEFON AB","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ALBAM","","ALBANIA","AMC (ALBANIAN MOBILE COMMUNICATIONS)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ALBVF","","ALBANIA","VODAFONE","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ALBEM","","ALBANIA","EAGLE MOBILE SH.A","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","DZAOT","","ALGERIA","DJEZZY (ORASCOM)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","DZAA1","","ALGERIA","ATM (MOBILIS) (EX-PTT Algeria)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","DZAWT","","ALGERIA","WATANIYA TELECOM ALGERIE S.P.A.","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ANDMA","","ANDORRA","STA (SERVEI DE TELECOMUNICACIONS D'ANDORA)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","AGOUT","","ANGOLA","UNITEL SARL","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","JAMDC","","ANGUILLA","DIGICEL","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","AIACW","","ANGUILLA","CABLE & WIRELESS (WEST INDIES)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ATG03","","ANTIGUA & BARBUDA","APUA (ANTIGUA PUBLIC UTILITIES AUTHORITY LTD)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","JAMDC","","ANTIGUA & BARBUDA","DIGICEL","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ATGCW","","ANTIGUA & BARBUDA","CABLE & WIRELESS (WEST INDIES) ","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ARGCM","","ARGENTINA","AMX ARGENTINA S.A. 'CLARO' ","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ARGTP","","ARGENTINA","TELECOM PERSONAL SA","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ARGNC","","ARGENTINA","NEXTEL COMMUNICATIONS ARGENTINA SA ","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ARGTM","","ARGENTINA","TELEFÓNICA MOVILES ARGENTINA S.A","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ARM01","","ARMENIA","ARMENTEL (ARMENIA TELEPHONE COMPANY)","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ARM05","","ARMENIA","K TELECOM CJSC 'VIVACELL'","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ARMOR","","ARMENIA","ORANGE ARMENIA CJSC","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","JAMDC","","ARUBA","DIGICEL","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ABWDC","","ARUBA","DIGICEL","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","ABWSE","","ARUBA","SERVICIO DI TEL. DI ARUBA (SETAR) N.V","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","AUSOP","","AUSTRALIA","OPTUS 'YES'","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","AUSTA","","AUSTRALIA","TELSTRA CORPORATION LTD","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","AUSVF","","AUSTRALIA","VODAFONE NETWORK PTY LTD","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","AUSHU","","AUSTRALIA","HUTCHISON 3G AUSTRALIA PTY LTD ","14/02/2023 13:10:00","14/02/2023 13:10:00"
"","","AUTCA","","AUSTRIA ","ORANGE AUSTRIA TELECOMMUNICATION GMBH","14/02/2023 13:10:00","14/02/2023 13:10:00"
